,Metro area,Population,city,state,latitude,longitude
38,"Milwaukee-Waukesha-West Allis, WI MSA",1576236,Milwaukee,WI,43.04160974,-87.95516968
39,"Jacksonville, FL MSA",1504980,Jacksonville,FL,30.28737032,-81.61743164
40,"Oklahoma City, OK MSA",1383737,Oklahoma City,OK,35.49069048,-97.53936768
41,"Memphis, TN-MS-AR MSA",1348260,Memphis,TN,35.13096636,-90.0302124
42,"Raleigh-Cary, NC MSA",1335079,Raleigh,NC,35.82320512,-78.65112305
43,"Richmond, VA MSA",1294204,Richmond,VA,37.55746349,-77.4961853
44,"Louisville–Jefferson County, KY-IN MSA",1293953,Louisville–Jefferson County,KY,38.22505524,-85.67687988
45,"New Orleans-Metairie, LA MSA",1275762,New Orleans,LA,29.95608434,-90.08377075
46,"Hartford-West Hartford-East Hartford, CT MSA",1210259,Hartford,CT,41.75977674,-72.68486023
47,"Salt Lake City, UT MSA",1203105,Salt Lake City,UT,40.77723858,-111.9232178
48,"Birmingham-Hoover, AL MSA",1149807,Birmingham,AL,33.47366535,-86.77688599
49,"Buffalo-Cheektowaga-Niagara Falls, NY MSA",1136856,Buffalo,NY,42.92708381,-78.81317139
50,"Rochester, NY MSA",1077948,Rochester,NY,43.15191492,-77.61154175
51,"Grand Rapids-Wyoming, MI MSA",1059113,Grand Rapids,MI,42.95322254,-85.63568115
52,"Tucson, AZ MSA",1022769,Tucson,AZ,32.24516151,-110.9317017
53,"Tulsa, OK MSA",990706,Tulsa,OK,36.10220016,-95.92712402
54,"Fresno, CA MSA",989255,Fresno,CA,36.79591191,-119.7921753
55,"Urban Honolulu, HI MSA",988650,Urban Honolulu,HI,21.32763116,-157.7993774
56,"Bridgeport-Stamford-Norwalk, CT MSA",949921,Bridgeport,CT,41.18949463,-73.19847107
57,"Worcester, MA-CT MSA",942475,Worcester,MA,42.2665928,-71.80252075
58,"Omaha-Council Bluffs, NE-IA MSA",933316,Omaha,NE,41.24975146,-96.04934692
59,"Albuquerque, NM MSA",910726,Albuquerque,NM,35.11524108,-106.605835
60,"Greenville-Anderson-Mauldin, SC MSA",895923,Greenville,SC,34.8475776,-82.3576355
61,"Bakersfield, CA MSA",893119,Bakersfield,CA,35.36648089,-119.045105
62,"Albany-Schenectady-Troy, NY MSA",886188,Albany,NY,42.68087494,-73.79310608
63,"Knoxville, TN MSA",877104,Knoxville,TN,35.94893044,-84.00695801
64,"McAllen-Edinburg-Mission, TX MSA",860661,McAllen,TX,26.21396583,-98.23356628
65,"New Haven-Milford, CT MSA",860435,New Haven,CT,41.31132817,-72.92690277
66,"Oxnard-Thousand Oaks-Ventura, CA MSA",854223,Oxnard,CA,34.19472245,-119.1975403
67,"El Paso, TX MSA",844818,El Paso,TX,31.79338938,-106.4273071
68,"Allentown-Bethlehem-Easton, PA-NJ MSA",840550,Allentown,PA,40.59826763,-75.50285339
69,"Baton Rouge, LA MSA",834159,Baton Rouge,LA,30.41843935,-91.09451294
70,"Columbia, SC MSA",825033,Columbia,SC,34.0354189,-81.01455688
71,"North Port-Sarasota-Bradenton, FL MSA",804690,North Port,FL,27.05908828,-82.2038269
72,"Dayton, OH MSA",803416,Dayton,OH,39.73235596,-84.15939331
73,"Charleston-North Charleston, SC MSA",775831,Charleston,SC,32.78896413,-79.96948242
74,"Greensboro-High Point, NC MSA",761184,Greensboro,NC,36.07847297,-79.84039307
75,"Stockton-Lodi, CA MSA",745424,Stockton,CA,37.98516001,-121.3027954
76,"Cape Coral-Fort Myers, FL MSA",739224,Cape Coral,FL,26.61182078,-81.96487427
77,"Little Rock-North Little Rock-Conway, AR MSA",738344,Little Rock,AR,34.74820965,-92.35656738
78,"Colorado Springs, CO MSA",723878,Colorado Springs,CO,38.87267845,-104.7903442
79,"Boise City, ID MSA",709845,Boise City,ID,43.61117623,-116.2435913
80,"Akron, OH MSA",703505,Akron,OH,41.0739916,-81.5322876
81,"Lakeland-Winter Haven, FL MSA",686483,Lakeland,FL,28.06588303,-81.94496155
82,"Winston-Salem, NC MSA",667733,Winston,NC,36.09733915,-80.28053284
83,"Ogden-Clearfield, UT MSA",665358,Ogden,UT,41.2220058,-111.9767761
84,"Syracuse, NY MSA",654841,Syracuse,NY,43.06181855,-76.13594055
85,"Madison, WI MSA",654230,Madison,WI,43.07572528,-89.39849854
86,"Deltona-Daytona Beach-Ormond Beach, FL MSA",649202,Deltona,FL,28.90656581,-81.22261047
87,"Des Moines-West Des Moines, IA MSA",645911,Des Moines,IA,41.59177797,-93.63510132
88,"Wichita, KS MSA",645628,Wichita,KS,37.6912485,-97.32650757
89,"Springfield, MA MSA",631652,Springfield,MA,42.11294981,-72.54615784
90,"Provo-Orem, UT MSA",617675,Provo,UT,40.24493188,-111.6612625
91,"Toledo, OH MSA",603668,Toledo,OH,41.66349521,-83.6114502
92,"Augusta-Richmond County, GA-SC MSA",600151,Augusta,GA,33.47837505,-82.04521179
93,"Palm Bay-Melbourne-Titusville, FL MSA",589162,Palm Bay,FL,28.02224937,-80.6224823
94,"Jackson, MS MSA",578715,Jackson,MS,32.33061617,-90.18058777
95,"Harrisburg-Carlisle, PA MSA",571903,Harrisburg,PA,40.27895616,-76.87477112
96,"Durham-Chapel Hill, NC MSA",567428,Durham,NC,35.97671881,-78.91891479
97,"Spokane-Spokane Valley, WA MSA",564236,Spokane,WA,47.67722475,-117.4067688
